"Taxon_name"	"Attribute"	"Attribute_value"	"Attribute_source"	"NCBI_ID"	"Rank"	"query"	"kingdom"	"class"	"order"	"family"	"genus"	"species"
"Actinomyces neuii"	"bv-associated"	TRUE	"https://pubmed.ncbi.nlm.nih.gov/24596283/"	"33007"	"species"	"Actinomyces neuii"	"Bacteria"	"Actinomycetia"	"Actinomycetales"	"Actinomycetaceae"	"Winkia"	"Winkia neuii"
"Actinomyces turicensis"	"bv-associated"	TRUE	"https://pubmed.ncbi.nlm.nih.gov/24596283/"	"131111"	"species"	"Actinomyces turicensis"	"Bacteria"	"Actinomycetia"	"Actinomycetales"	"Actinomycetaceae"	"Schaalia"	"Schaalia turicensis"
"Aerococcus christensenii"	"bv-associated"	TRUE	"https://pubmed.ncbi.nlm.nih.gov/24596283/"	"87541"	"species"	"Aerococcus christensenii"	"Bacteria"	"Bacilli"	"Lactobacillales"	"Aerococcaceae"	"Aerococcus"	"Aerococcus christensenii"
"Atopobium massiliense"	"bv-associated"	TRUE	"https://www.sciencedirect.com/science/article/pii/S2052297520301232"	"2094145"	"species"	"Atopobium massiliense"	"Bacteria"	"Coriobacteriia"	"Coriobacteriales"	"Atopobiaceae"	"Atopobium"	"Atopobium massiliense"
"Atopobium vaginae"	"bv-associated"	TRUE	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2890091/"	"82135"	"species"	"Atopobium vaginae"	"Bacteria"	"Actinomycetia"	"Actinomycetales"	"Actinomycetaceae"	"Fannyhessea"	"Fannyhessea vaginae"
"Bacillus firmus"	"bv-associated"	TRUE	"https://pubmed.ncbi.nlm.nih.gov/24596283/"	"1399"	"species"	"Bacillus firmus"	"Bacteria"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Cytobacillus"	"Cytobacillus firmus"
"Bifidobacterium longum"	"bv-associated"	TRUE	"https://pubmed.ncbi.nlm.nih.gov/24596283/"	"216816"	"species"	"Bifidobacterium longum"	"Bacteria"	"Actinomycetia"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Bifidobacterium"	"Bifidobacterium longum"
"Brevibacterium mcbrellneri"	"bv-associated"	TRUE	"https://pubmed.ncbi.nlm.nih.gov/24596283/"	"53363"	"species"	"Brevibacterium mcbrellneri"	"Bacteria"	"Actinomycetia"	"Micrococcales"	"Brevibacteriaceae"	"Brevibacterium"	"Brevibacterium mcbrellneri"
"Brevibacterium ravenspurgense"	"bv-associated"	TRUE	"https://pubmed.ncbi.nlm.nih.gov/24596283/"	"479117"	"species"	"Brevibacterium ravenspurgense"	"Bacteria"	"Actinomycetia"	"Micrococcales"	"Brevibacteriaceae"	"Brevibacterium"	"Brevibacterium ravenspurgense"
"Butyricimonas vaginalis"	"bv-associated"	TRUE	"https://www.sciencedirect.com/science/article/pii/S2052297520301232"	"2042309"	"species"	"Butyricimonas vaginalis"	"Bacteria"	"Bacteroidia"	"Bacteroidales"	"Odoribacteraceae"	"Butyricimonas"	"Butyricimonas vaginalis"
"Corynebacterium amycolatum"	"bv-associated"	TRUE	"https://pubmed.ncbi.nlm.nih.gov/24596283/"	"43765"	"species"	"Corynebacterium amycolatum"	"Bacteria"	"Actinomycetia"	"Corynebacteriales"	"Corynebacteriaceae"	"Corynebacterium"	"Corynebacterium amycolatum"
"Corynebacterium tuberculostearicum"	"bv-associated"	TRUE	"https://pubmed.ncbi.nlm.nih.gov/24596283/"	"38304"	"species"	"Corynebacterium tuberculostearicum"	"Bacteria"	"Actinomycetia"	"Corynebacteriales"	"Corynebacteriaceae"	"Corynebacterium"	"Corynebacterium tuberculostearicum"
"Corynebacterium tuscaniense"	"bv-associated"	TRUE	"https://pubmed.ncbi.nlm.nih.gov/24596283/"	"302449"	"species"	"Corynebacterium tuscaniense"	"Bacteria"	"Actinomycetia"	"Corynebacteriales"	"Corynebacteriaceae"	"Corynebacterium"	"Corynebacterium tuscaniense"
"Enterococcus faecalis"	"bv-associated"	TRUE	"https://pubmed.ncbi.nlm.nih.gov/24596283/"	"1351"	"species"	"Enterococcus faecalis"	"Bacteria"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	"Enterococcus"	"Enterococcus faecalis"
"Escherichia coli"	"bv-associated"	TRUE	"https://pubmed.ncbi.nlm.nih.gov/24596283/"	"562"	"species"	"Escherichia coli"	"Bacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Escherichia"	"Escherichia coli"
"Fusobacterium nucleatum"	"bv-associated"	TRUE	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2890091/"	"851"	"species"	"Fusobacterium nucleatum"	"Bacteria"	"Fusobacteriia"	"Fusobacteriales"	"Fusobacteriaceae"	"Fusobacterium"	"Fusobacterium nucleatum"
"Gardnerella vaginalis"	"bv-associated"	TRUE	"https://pubmed.ncbi.nlm.nih.gov/24596283/; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2890091/"	"2702"	"species"	"Gardnerella vaginalis"	"Bacteria"	"Actinomycetia"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Gardnerella"	"Gardnerella vaginalis"
"Gemella haemolysans"	"bv-associated"	TRUE	"https://pubmed.ncbi.nlm.nih.gov/24596283/"	"1379"	"species"	"Gemella haemolysans"	"Bacteria"	"Bacilli"	"Bacillales"	NA	"Gemella"	"Gemella haemolysans"
"Klebsiella/Enterobacter"	"bv-associated"	TRUE	"https://pubmed.ncbi.nlm.nih.gov/24596283/"	"547"	"genus"	"Klebsiella/Enterobacter"	"Bacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Enterobacter"	NA
"Micrococcus sp."	"bv-associated"	TRUE	"https://pubmed.ncbi.nlm.nih.gov/24596283/"	"1271"	"species"	"Micrococcus sp."	"Bacteria"	"Actinomycetia"	"Micrococcales"	"Micrococcaceae"	"Micrococcus"	"Micrococcus sp."
"Mobiluncus mulieris"	"bv-associated"	TRUE	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2890091/"	"2052"	"species"	"Mobiluncus mulieris"	"Bacteria"	"Actinomycetia"	"Actinomycetales"	"Actinomycetaceae"	"Mobiluncus"	"Mobiluncus mulieris"
"Metamycoplasma hominis"	"bv-associated"	TRUE	"https://pubmed.ncbi.nlm.nih.gov/24596283/"	"2098"	"species"	"Metamycoplasma hominis"	"Bacteria"	NA	"Mycoplasmoidales"	"Metamycoplasmataceae"	"Metamycoplasma"	"Metamycoplasma hominis"
