taxon_name	MID26	MID27	MID28	MID29	MID30	MID32	MID33	MID34	MID35	MID36	MID37	MID38	MID39	MID40	MID41	MID42	MID43
GQ448052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU458484	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0
EU777577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ800182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0
DQ806770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FJ371526	121	0	0	0	2	379	0	0	0	1	0	0	0	1	0	0	0
AM932554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ824059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ805355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
DQ799489	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
FJ364810	13	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0
DQ798059	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DQ801855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ801854	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
GU455116	0	27	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ805820	43	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0
AF349937	0	94	6	2	0	0	0	0	0	0	0	0	0	0	4	0	0
DQ805826	9	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0
DQ805827	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HQ788475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU505003	0	3	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ456478	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0
DQ804516	13	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0
DQ808087	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ804511	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JN809778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ808088	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ794294	4	0	0	0	0	0	0	0	0	0	0	10	3	0	0	0	0
DQ794747	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
DQ794296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ794292	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AM932556	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
HQ762563	61	0	0	0	0	844	0	0	0	0	0	0	0	0	4	0	0
DQ800695	0	0	0	0	0	0	0	0	83	0	0	0	3	0	0	0	0
EU461750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GQ896935	26	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
DQ809597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU768351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GQ493248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FJ371236	0	12	6	21	0	0	0	0	0	0	0	12	0	0	0	0	0
FJ678175	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
HQ766415	4	15	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
JN680579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
