taxon_name	taxonomy
GQ448052	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Ruminococcaceae; __uncultured; __uncultured_bacterium
EU458484	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Lachnospiraceae; __Blautia; __uncultured_bacterium
EU777577	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Lachnospiraceae; __Blautia; __uncultured_bacterium
DQ800182	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Lachnospiraceae; __Incertae_Sedis; __uncultured_bacterium
DQ806770	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Ruminococcaceae; __Faecalibacterium; __uncultured_bacterium
FJ371526	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Lachnospiraceae; __Incertae_Sedis; __uncultured_bacterium
AM932554	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Lachnospiraceae; __Anaerostipes; __uncultured_bacterium
DQ824059	Bacteria; __Firmicutes; __Erysipelotrichi; __Erysipelotrichales; __Erysipelotrichaceae; __uncultured; __uncultured_bacterium
DQ805355	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Lachnospiraceae; __uncultured; __uncultured_bacterium
DQ799489	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Ruminococcaceae; __uncultured; __uncultured_bacterium
FJ364810	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Lachnospiraceae; __Anaerostipes; __uncultured_bacterium
DQ798059	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Lachnospiraceae; __uncultured; __uncultured_bacterium
DQ801855	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Lachnospiraceae; __Incertae_Sedis; __uncultured_bacterium
DQ801854	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Lachnospiraceae; __Dorea; __uncultured_bacterium
GU455116	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Peptostreptococcaceae; __uncultured; __uncultured_bacterium
DQ805820	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Lachnospiraceae; __Blautia; __uncultured_bacterium
AF349937	Bacteria; __Firmicutes; __Bacilli; __Lactobacillales; __Lactobacillaceae; __Lactobacillus; __Lactobacillus_sp._CR-609S
DQ805826	Bacteria; __Bacteroidetes; __Bacteroidia; __Bacteroidales; __Porphyromonadaceae; __Parabacteroides; __uncultured_bacterium
DQ805827	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Ruminococcaceae; __Faecalibacterium; __uncultured_bacterium
HQ788475	Bacteria; __Bacteroidetes; __Bacteroidia; __Bacteroidales; __Bacteroidaceae; __Bacteroides; __uncultured_organism
EU505003	Bacteria; __Firmicutes; __Erysipelotrichi; __Erysipelotrichales; __Erysipelotrichaceae; __uncultured; __uncultured_bacterium
DQ456478	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Lachnospiraceae; __uncultured; __uncultured_bacterium
DQ804516	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Lachnospiraceae; __uncultured; __uncultured_bacterium
DQ808087	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Lachnospiraceae; __Blautia; __uncultured_bacterium
DQ804511	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Lachnospiraceae; __Blautia; __uncultured_bacterium
JN809778	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Family_XI_Incertae_Sedis; __Peptoniphilus; __Clostridiales; __Clostridiales_bacterium_BV3C26
DQ808088	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Lachnospiraceae; __Blautia; __uncultured_bacterium
DQ794294	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Ruminococcaceae; __Incertae_Sedis; __uncultured_bacterium
DQ794747	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Lachnospiraceae; __uncultured; __uncultured_bacterium
DQ794296	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Ruminococcaceae; __Ruminococcus; __uncultured_bacterium
DQ794292	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Ruminococcaceae; __Subdoligranulum; __uncultured_bacterium
AM932556	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Lachnospiraceae; __uncultured; __uncultured_bacterium
HQ762563	Bacteria; __Bacteroidetes; __Bacteroidia; __Bacteroidales; __Bacteroidaceae; __Bacteroides; __uncultured_organism
DQ800695	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Lachnospiraceae; __Incertae_Sedis; __uncultured_bacterium
EU461750	Bacteria; __Firmicutes; __Erysipelotrichi; __Erysipelotrichales; __Erysipelotrichaceae; __Catenibacterium; __uncultured_bacterium
GQ896935	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Ruminococcaceae; __Faecalibacterium; __uncultured_bacterium
DQ809597	Bacteria; __Firmicutes; __Erysipelotrichi; __Erysipelotrichales; __Erysipelotrichaceae; __Catenibacterium; __uncultured_bacterium
EU768351	Bacteria; __Bacteroidetes; __Bacteroidia; __Bacteroidales; __Bacteroidaceae; __Bacteroides; __uncultured_bacterium
GQ493248	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Lachnospiraceae; __Blautia; __uncultured_bacterium
FJ371236	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Ruminococcaceae; __uncultured; __uncultured_bacterium
FJ678175	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Lachnospiraceae; __Pseudobutyrivibrio; __uncultured_bacterium
HQ766415	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Lachnospiraceae; __uncultured; __uncultured_organism
JN680579	Bacteria; __Bacteroidetes; __Bacteroidia; __Bacteroidales; __Porphyromonadaceae; __Parabacteroides; __uncultured_Porphyromonadaceae_bacterium
DQ809599	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Lachnospiraceae; __Pseudobutyrivibrio; __uncultured_bacterium
DQ809049	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Ruminococcaceae; __Faecalibacterium; __uncultured_bacterium
DQ794343	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Ruminococcaceae; __uncultured; __uncultured_bacterium
DQ794340	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Lachnospiraceae; __uncultured; __uncultured_bacterium
DQ798125	Bacteria; __Bacteroidetes; __Bacteroidia; __Bacteroidales; __Bacteroidaceae; __Bacteroides; __uncultured_bacterium
DQ794347	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Lachnospiraceae; __Moryella; __uncultured_bacterium
DQ806939	Bacteria; __Bacteroidetes; __Bacteroidia; __Bacteroidales; __Porphyromonadaceae; __Barnesiella; __uncultured_bacterium
DQ794345	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Ruminococcaceae; __Subdoligranulum; __uncultured_bacterium
HQ790848	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Ruminococcaceae; __Incertae_Sedis; __uncultured_organism
DQ806935	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Lachnospiraceae; __Blautia; __uncultured_bacterium
DQ806931	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Ruminococcaceae; __Incertae_Sedis; __uncultured_bacterium
DQ806930	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Ruminococcaceae; __Subdoligranulum; __uncultured_bacterium
EU775099	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Ruminococcaceae; __uncultured; __uncultured_bacterium
DQ800216	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Ruminococcaceae; __uncultured; __uncultured_bacterium
EU655856	Bacteria; __Bacteroidetes; __Bacteroidia; __Bacteroidales; __Rikenellaceae; __Rikenella; __uncultured_bacterium
DQ800211	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Lachnospiraceae; __Blautia; __uncultured_bacterium
GQ448876	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Ruminococcaceae; __uncultured; __uncultured_bacterium
DQ800033	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Lachnospiraceae; __Blautia; __uncultured_bacterium
DQ804201	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Lachnospiraceae; __Incertae_Sedis; __uncultured_bacterium
EU775093	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Ruminococcaceae; __uncultured; __uncultured_bacterium
EF096651	Bacteria; __Bacteroidetes; __Bacteroidia; __Bacteroidales; __S24-7; __uncultured_bacterium
DQ801035	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __uncultured; __uncultured_bacterium
AY880045	Bacteria; __Actinobacteria; __Bifidobacteriales; __Bifidobacteriaceae; __Scardovia; __Scardovia_wiggsiae
DQ794909	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Lachnospiraceae; __Incertae_Sedis; __uncultured_bacterium
EU462170	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Lachnospiraceae; __uncultured; __uncultured_bacterium
DQ805006	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Lachnospiraceae; __uncultured; __uncultured_bacterium
FJ558181	Bacteria; __Firmicutes; __Bacilli; __Lactobacillales; __Streptococcaceae; __Streptococcus; __uncultured_bacterium
DQ809620	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Christensenellaceae; __uncultured; __uncultured_bacterium
GQ448471	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Ruminococcaceae; __Subdoligranulum; __uncultured_bacterium
AY880048	Bacteria; __Actinobacteria; __Bifidobacteriales; __Bifidobacteriaceae; __Alloscardovia; __Bifidobacterium; __Bifidobacterium_sp._S13-05
DQ806860	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Ruminococcaceae; __Ruminococcus; __uncultured_bacterium
DQ801205	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Lachnospiraceae; __Blautia; __uncultured_bacterium
EU768014	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Ruminococcaceae; __Subdoligranulum; __uncultured_bacterium
FJ364770	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Lachnospiraceae; __Incertae_Sedis; __uncultured_bacterium
EU774065	Bacteria; __Bacteroidetes; __Bacteroidia; __Bacteroidales; __Prevotellaceae; __Prevotella; __uncultured_bacterium
HM124319	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Ruminococcaceae; __uncultured; __uncultured_bacterium
EU931396	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Family_XI_Incertae_Sedis; __Anaerococcus; __uncultured_microorganism
FJ366908	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Peptococcaceae; __uncultured; __uncultured_bacterium
DQ799237	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Lachnospiraceae; __Incertae_Sedis; __uncultured_bacterium
EF096747	Bacteria; __Bacteroidetes; __Bacteroidia; __Bacteroidales; __Porphyromonadaceae; __Parabacteroides; __uncultured_bacterium
DQ795508	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Lachnospiraceae; __Coprococcus; __uncultured_bacterium
DQ793953	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Lachnospiraceae; __Incertae_Sedis; __uncultured_bacterium
DQ798894	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Lachnospiraceae; __Incertae_Sedis; __uncultured_bacterium
DQ810115	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Lachnospiraceae; __Incertae_Sedis; __uncultured_bacterium
DQ800328	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Lachnospiraceae; __Dorea; __uncultured_bacterium
FJ364017	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Lachnospiraceae; __Blautia; __uncultured_bacterium
EU778969	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Lachnospiraceae; __Incertae_Sedis; __uncultured_bacterium
DQ795553	Bacteria; __Verrucomicrobia; __Verrucomicrobiae; __Verrucomicrobiales; __Verrucomicrobiaceae; __Akkermansia; __uncultured_bacterium
DQ801106	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Lachnospiraceae; __uncultured; __uncultured_bacterium
EU459600	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Lachnospiraceae; __uncultured; __uncultured_bacterium
DQ795273	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Lachnospiraceae; __Blautia; __uncultured_bacterium
DQ793840	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Lachnospiraceae; __Moryella; __uncultured_bacterium
EU467709	Bacteria; __Bacteroidetes; __Bacteroidia; __Bacteroidales; __Bacteroidaceae; __Bacteroides; __uncultured_bacterium
EF434352	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Ruminococcaceae; __Incertae_Sedis; __uncultured_Clostridiales_bacterium
DQ800672	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Ruminococcaceae; __uncultured; __uncultured_bacterium
