"kingdom"	"class"	"order"	"family"	"genus"	"species"	"Attribute"
"Bacteria"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"Lactobacillus iners"	"hv-associated"
"Bacteria"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"Lactobacillus crispatus"	"hv-associated"
"Bacteria"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"Lactobacillus gasseri"	"hv-associated"
"Bacteria"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"Lactobacillus jensenii"	"hv-associated"
"Bacteria"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"	NA	"bv-associated"
"Bacteria"	"Negativicutes"	"Veillonellales"	"Veillonellaceae"	"Megasphaera"	NA	NA
"Bacteria"	"Fusobacteriia"	"Fusobacteriales"	"Leptotrichiaceae"	"Sneathia"	NA	"bv-associated"
"Bacteria"	"Coriobacteriia"	"Coriobacteriales"	"Atopobiaceae"	"Atopobium"	NA	"bv-associated"
"Bacteria"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	NA	"bv-associated"
"Bacteria"	"Negativicutes"	"Veillonellales"	"Veillonellaceae"	"Dialister"	NA	NA
"Bacteria"	"Clostridia"	"Eubacteriales"	"Lachnospiraceae"	NA	NA	NA
"Bacteria"	"Tissierellia"	"Tissierellales"	"Peptoniphilaceae"	"Anaerococcus"	NA	NA
"Bacteria"	"Tissierellia"	"Tissierellales"	"Peptoniphilaceae"	"Peptoniphilus"	NA	"bv-associated"
"Bacteria"	"Coriobacteriia"	"Eggerthellales"	"Eggerthellaceae"	"Eggerthella"	NA	NA
"Bacteria"	"Tissierellia"	"Tissierellales"	"Peptoniphilaceae"	"Finegoldia"	NA	NA
"Bacteria"	NA	NA	NA	NA	NA	NA
"Bacteria"	"Clostridia"	"Eubacteriales"	"Oscillospiraceae"	NA	NA	NA
"Bacteria"	"Mollicutes"	"Mycoplasmatales"	"Mycoplasmataceae"	"Ureaplasma"	NA	NA
"Bacteria"	"Mollicutes"	"Mycoplasmatales"	"Mycoplasmataceae"	NA	NA	NA
"Bacteria"	"Bacilli"	"Lactobacillales"	"Aerococcaceae"	"Aerococcus"	NA	"bv-associated"
"Bacteria"	"Tissierellia"	"Tissierellales"	"Peptoniphilaceae"	"Parvimonas"	NA	NA
"Bacteria"	"Bacilli"	"Bacillales"	"Staphylococcaceae"	"Staphylococcus"	NA	"bv-associated"
"Bacteria"	"Actinomycetia"	"Corynebacteriales"	"Corynebacteriaceae"	"Corynebacterium"	NA	"bv-associated"
"Bacteria"	"Negativicutes"	"Veillonellales"	"Veillonellaceae"	"Veillonella"	NA	"bv-associated"
"Bacteria"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Limosilactobacillus"	"Limosilactobacillus vaginalis"	NA
"Bacteria"	"Actinomycetia"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Gardnerella"	NA	"bv-associated"
"Bacteria"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	NA	NA
"Bacteria"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	NA	NA	NA
"Bacteria"	"Clostridia"	"Eubacteriales"	"Peptostreptococcaceae"	"Peptostreptococcus"	NA	"bv-associated"
"Bacteria"	"Actinomycetia"	"Actinomycetales"	"Actinomycetaceae"	"Mobiluncus"	NA	"bv-associated"
"Bacteria"	"Gammaproteobacteria"	"Pasteurellales"	"Pasteurellaceae"	"Pasteurella"	NA	NA
"Bacteria"	"Bacteroidia"	"Bacteroidales"	"Porphyromonadaceae"	"Porphyromonas"	NA	NA
"Bacteria"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	NA	"hv-associated"
"Bacteria"	"Clostridia"	"Eubacteriales"	NA	NA	NA	NA
"Bacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Klebsiella"	NA	NA
"Bacteria"	"Bacilli"	"Lactobacillales"	NA	NA	NA	NA
"Bacteria"	"Bacilli"	"Bacillales"	NA	"Gemella"	NA	"bv-associated"
"Bacteria"	"Clostridia"	"Eubacteriales"	"Oscillospiraceae"	NA	NA	NA
"Bacteria"	"Bacilli"	"Lactobacillales"	NA	NA	NA	NA
"Bacteria"	"Clostridia"	"Eubacteriales"	"Oscillospiraceae"	NA	NA	NA
"Bacteria"	"Bacilli"	"Lactobacillales"	NA	NA	NA	NA
"Bacteria"	"Epsilonproteobacteria"	"Campylobacterales"	"Campylobacteraceae"	"Campylobacter"	NA	NA
"Bacteria"	"Fusobacteriia"	"Fusobacteriales"	"Fusobacteriaceae"	"Fusobacterium"	NA	"bv-associated"
"Bacteria"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	NA	"hv-associated"
"Bacteria"	"Clostridia"	"Eubacteriales"	"Lachnospiraceae"	NA	NA	NA
"Bacteria"	"Clostridia"	"Eubacteriales"	"Lachnospiraceae"	NA	NA	NA
"Bacteria"	"Actinomycetia"	"Actinomycetales"	"Actinomycetaceae"	"Actinomyces"	NA	"bv-associated"
"Bacteria"	"Clostridia"	"Eubacteriales"	"Lachnospiraceae"	"Moryella"	NA	NA
"Bacteria"	NA	NA	NA	NA	NA	NA
"Bacteria"	"Negativicutes"	"Veillonellales"	"Veillonellaceae"	"Anaeroglobus"	NA	NA
"Bacteria"	"Actinomycetia"	"Propionibacteriales"	"Propionibacteriaceae"	"Propionibacterium"	NA	"bv-associated"
"Bacteria"	"Actinomycetia"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Bifidobacterium"	NA	"bv-associated"
"Bacteria"	"Clostridia"	"Eubacteriales"	"Lachnospiraceae"	NA	NA	NA
"Bacteria"	"Actinomycetia"	"Actinomycetales"	"Actinomycetaceae"	"Varibaculum"	NA	NA
"Bacteria"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	NA	NA	NA
"Bacteria"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	NA	"hv-associated"
"Bacteria"	"Bacilli"	"Bacillales"	NA	"Exiguobacterium"	NA	NA
